Proveedor,Marca,Group,Sub Grupo,Codigo Secundario,Codigo,Descripcion,Costo,Iva,PVP,% Rent,Unid.,Cant.,Und. X Cja,Cant. Emb.,Uni. Emb.,Total
N/D,BM,GENERAL,GENERAL,GP.34,GP.34,FARO POSTERIOR CHEVROLET LUV 2.2 98- 99 LH TRICOLOR C/S ( BM ),13.648,15,15,9.91%,UNI,0,0,0,N/D,0
N/D,ALTERNO,GENERAL,GENERAL,96420303,06-002-08-0581,TAPA RESERVORIO RADIADOR CHEVROLET AVEO 1.4/1.5/1.6 05- / SPARK / MATIZ 02- 10 / OPTRA 05- 13 / VIVANT 00- 08 ( ALT ),1.487,15,5,236.25%,UNI,21,0,0,N/D,31.23
N/D,BM,GENERAL,GENERAL,96420303,RP-TAR1N,TAPA RESERVORIO RADIADOR CHEVROLET AVEO 1.4/1.5/1.6 05- / SPARK / MATIZ 02- 10 / OPTRA 05- 13 / VIVANT 00- 08 ( BM ),1.092,15,5,357.87%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,865141R000,865141R000,VINCHA GUARDACHOQUE DEL HYUNDAI ACCENT 12- RH ( ORIGINAL ),6.1786,15,20,223.7%,UNI,2,0,0,N/D,12.36
N/D,GENERAL,GENERAL,GENERAL,BST-678,BST-678,BASE MOTOR POS TRACKER 17/20,17.8571,15,30,68%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,CZD4G15B-1307010,CZD4G15B-1307010,BOMBA AGUA CHERY TIGGO 2 1.5,17.3913,15,35,101.25%,UNI,0,0,0,N/D,0
SERVICIO DE AUTOPARTES AUTODESER S.A.,GENERAL,GENERAL,GENERAL,UE38-41-920,802MZ02A005,"BOMBA EMBRAGUE AUXILIAR MAZDA B2600 01- 2.2/2.6 3/4"" ( MASAWA )",5.14,15,20,238.35%,UNI,3,0,0,N/D,15.42
N/D,GENERAL,GENERAL,GENERAL,MZ9000150-1000,MZ9000150-1000,CAPOT MAZDA B1600 B1800 78 81 ( API ),249.7913,15,310,24.1%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,96534241,96534241,CHAPA PUERTA TANQUE COMBUSTIBLE,3.125,15,5,60%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,03-002-08-0110,03-002-08-0110,CREMALLERA CHEVROLET CORSA WIND 96 99 D/MAN,40.17857,15,65,61.78%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,7701435644,7701435644,CREMALLERA DIRECCIÓN RENAULT CLIO II 1.4/1.6 02- 10 / SYMBOL 1.4/1.6 02- 10 / KANGOO 1.4/1.6 01- 11,165,15,190,0.13%,UNI,0,0,0,N/D,0
