handle,sku,title,currentCollections,suggestedCollection,hasCollection,price,available,url
"12591290-sensor-de-presion-de-admision-map-chevrolet-spark-gt-beat-2018-2023","RP-SMP6","12591290 / SENSOR DE PRESION DE ADMISION MAP CHEVROLET SPARK GT-BEAT 2018-2023","","motor-sensores-filtros","false","20.0","true","/producto/12591290-sensor-de-presion-de-admision-map-chevrolet-spark-gt-beat-2018-2023/"
"absorbedor-impacto-delantero-hyundai-i10-09-11-vendido-al-gordo-de-cremallera","86520-0X000","ABSORBEDOR IMPACTO DELANTERO HYUNDAI I10 09-11 VENDIDO AL GORDO DE CREMALLERA","","guardachoques","false","70.0","true","/producto/absorbedor-impacto-delantero-hyundai-i10-09-11-vendido-al-gordo-de-cremallera/"
"absorbedor-impacto-gchoque-del-santa-fe-2-4-2-7-genuine","86620-2B000","ABSORBEDOR IMPACTO GCHOQUE DEL SANTA FE 2.4 2.7 ( GENUINE )","","guardachoques","false","120.0","true","/producto/absorbedor-impacto-gchoque-del-santa-fe-2-4-2-7-genuine/"
"aceite-gp-full-sintetico-st-5w30-1galon-gp","52812","ACEITE GP FULL SINTETICO ST 5W30 1GALON ( GP )","","motor-sensores-filtros","false","20.0","true","/producto/aceite-gp-full-sintetico-st-5w30-1galon-gp/"
"aceite-gp-full-sintetico-st-5w30-1litro-gp","52811","ACEITE GP FULL SINTETICO ST 5W30 1LITRO ( GP )","","motor-sensores-filtros","false","7.0","true","/producto/aceite-gp-full-sintetico-st-5w30-1litro-gp/"
"aceite-gp-sintetico-blend-s-st-10w30-1litro-gp","52813","ACEITE GP SINTETICO BLEND S/ST 10W30 1LITRO ( GP )","","motor-sensores-filtros","false","6.0","true","/producto/aceite-gp-sintetico-blend-s-st-10w30-1litro-gp/"
"aceite-gp-sintetico-blend-s-st-20w50-1litro-gp","52818","ACEITE GP SINTETICO BLEND S/ST 20W50 1LITRO ( GP )","","motor-sensores-filtros","false","6.0","true","/producto/aceite-gp-sintetico-blend-s-st-20w50-1litro-gp/"
"aceite-gp-velox-sae-40-sl-1litro-gp","52823","ACEITE GP VELOX SAE 40 SL 1LITRO ( GP )","","motor-sensores-filtros","false","7.0","true","/producto/aceite-gp-velox-sae-40-sl-1litro-gp/"
"aceite-hidraulico-gulf-atf-dexron-iii-1lt-gulf","06-002-36-0003","ACEITE HIDRAULICO GULF ATF DEXRON III 1LT ( GULF )","","motor-sensores-filtros","false","8.0","true","/producto/aceite-hidraulico-gulf-atf-dexron-iii-1lt-gulf/"
"aceite-litro-20w50","2333443","ACEITE LITRO 20W50","","motor-sensores-filtros","false","6.0","true","/producto/aceite-litro-20w50/"
"aceite-lubricante-multi-funcion-spray-750ml","V43036","ACEITE LUBRICANTE MULTI FUNCION SPRAY 750ML","","motor-sensores-filtros","false","5.0","true","/producto/aceite-lubricante-multi-funcion-spray-750ml/"
"aceite-motor-gulf-tec-plus-10w30-sn-semi-sintetico-1gl-gulf","06-002-36-0013","ACEITE MOTOR GULF TEC PLUS 10W30 SN SEMI SINTETICO 1GL ( GULF )","","motor-sensores-filtros","false","25.0","true","/producto/aceite-motor-gulf-tec-plus-10w30-sn-semi-sintetico-1gl-gulf/"
"aceite-motor-gulf-tec-plus-20w50-sn-semi-sintetico-gdi-1gl-gulf","06-002-36-0015","ACEITE MOTOR GULF TEC PLUS 20W50 SN SEMI SINTETICO GDI 1GL ( GULF )","","motor-sensores-filtros","false","25.0","true","/producto/aceite-motor-gulf-tec-plus-20w50-sn-semi-sintetico-gdi-1gl-gulf/"
"adaptador-depurador-chevrolet-spark-07-gm","96827726","ADAPTADOR DEPURADOR CHEVROLET SPARK 07- ( GM )","","motor-sensores-filtros","false","10.0","true","/producto/adaptador-depurador-chevrolet-spark-07-gm/"
"aislante-guardafango-delantero-grand-vitara-sz-2-0-08","72492-65J00-000","AISLANTE GUARDAFANGO DELANTERO GRAND VITARA SZ 2.0 08","","guardafangos","false","60.0","true","/producto/aislante-guardafango-delantero-grand-vitara-sz-2-0-08/"
"aldaba-compuerta-chevrolet-luv-2300-88-90","0010001010638","ALDABA COMPUERTA CHEVROLET LUV 2300 88-90","","puertas-manijas-chapas","false","8.0","true","/producto/aldaba-compuerta-chevrolet-luv-2300-88-90/"
"aldaba-compuerta-toyota-hilux-05-blanco","0010001010640","ALDABA COMPUERTA TOYOTA HILUX 05- BLANCO","","puertas-manijas-chapas","false","15.0","true","/producto/aldaba-compuerta-toyota-hilux-05-blanco/"
"aleta-guardafango-del-lh-tiggo-7-pro","602000870AA","ALETA GUARDAFANGO DEL LH TIGGO 7 PRO","","guardafangos","false","30.0","true","/producto/aleta-guardafango-del-lh-tiggo-7-pro/"
"amortiguador-chery-arrizo-3-1-5-pos-l-r-gas-bm","RP-AM161","AMORTIGUADOR CHERY ARRIZO 3 1.5 POS L/R GAS ( BM )","","suspension-direccion","false","28.0","true","/producto/amortiguador-chery-arrizo-3-1-5-pos-l-r-gas-bm/"
"amortiguador-chery-arrizo-3-a19-1-5-19-del-lh-gas-bm","RP-AM160","AMORTIGUADOR CHERY ARRIZO 3 A19 1.5 19- DEL LH GAS ( BM )","","suspension-direccion","false","40.0","true","/producto/amortiguador-chery-arrizo-3-a19-1-5-19-del-lh-gas-bm/"
"amortiguador-chery-arrizo-3-a19-1-5-19-del-rh-gas-bm","RP-AM159","AMORTIGUADOR CHERY ARRIZO 3 A19 1.5 19- DEL RH GAS ( BM )","","suspension-direccion","false","40.0","true","/producto/amortiguador-chery-arrizo-3-a19-1-5-19-del-rh-gas-bm/"
"amortiguador-chery-arrizo-5-1-5-22-tiggo-3-18-l-del-gas","AM-DL-05-002","AMORTIGUADOR CHERY ARRIZO 5 1.5 22- / TIGGO 3 18- L DEL GAS","","suspension-direccion","false","40.0","true","/producto/amortiguador-chery-arrizo-5-1-5-22-tiggo-3-18-l-del-gas/"
